gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Flag,ServiceCount,Churn_Label,Churn_Probability,Risk_Level,Recommended_Action,Revenue_At_Risk
Female,0,Yes,No,1,No,No phone service,DSL,0,1,0,0,0,0,Month-to-month,Yes,Electronic check,29.85,29.85,No,0,1,0,0.4106157,Low Risk,​​​​​​​✅ No Immediate Action,205.30786
Male,0,No,No,34,Yes,No,DSL,1,0,1,0,0,0,One year,No,Mailed check,56.95,1889.5,No,0,2,0,0.011208509,Low Risk,​​​​​​​✅ No Immediate Action,5.6042547
Male,0,No,No,2,Yes,No,DSL,1,1,0,0,0,0,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,2,1,0.6813744,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,340.6872
Male,0,No,No,45,No,No phone service,DSL,1,0,1,1,0,0,One year,No,Bank transfer (automatic),42.3,1840.75,No,0,3,0,0.014551079,Low Risk,​​​​​​​✅ No Immediate Action,7.2755394
Female,0,No,No,2,Yes,No,Fiber optic,0,0,0,0,0,0,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,0,1,0.7897212,Medium Risk,​​​​​​​⚠️ Targeted SMS Offer,394.8606
Female,0,No,No,8,Yes,Yes,Fiber optic,0,0,1,0,1,1,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,3,1,0.9699662,High Risk,​​​​​​​🔥 Call + 20% Discount,484.9831
Male,0,No,Yes,22,Yes,Yes,Fiber optic,0,1,0,0,1,0,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,0,2,0,0.45087147,Low Risk,​​​​​​​✅ No Immediate Action,225.43573
Female,0,No,No,10,No,No phone service,DSL,1,0,0,0,0,0,Month-to-month,No,Mailed check,29.75,301.9,No,0,1,0,0.12070607,Low Risk,​​​​​​​✅ No Immediate Action,60.353035
Female,0,Yes,No,28,Yes,Yes,Fiber optic,0,0,1,1,1,1,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,4,1,0.9349519,High Risk,​​​​​​​🔥 Call + 20% Discount,467.47595
Male,0,No,Yes,62,Yes,No,DSL,1,1,0,0,0,0,One year,No,Bank transfer (automatic),56.15,3487.95,No,0,2,0,0.0092732515,Low Risk,​​​​​​​✅ No Immediate Action,4.636626
